USER       PID COMMAND                      MINFL
jainebu+  1400 /usr/lib/gnome-session/gnom   6642
jainebu+  1455 /usr/lib/gvfs/gvfsd            971
jainebu+  1460 /usr/lib/gvfs/gvfsd-fuse /r    597
jainebu+  1483 /usr/bin/gnome-shell        272508
jainebu+  1489 /usr/bin/Xwayland :0 -rootl 170499
jainebu+  1496 /usr/lib/at-spi2-core/at-sp    679
jainebu+  1501 /usr/bin/dbus-daemon --conf    322
jainebu+  1503 /usr/lib/at-spi2-core/at-sp    371
jainebu+  1509 /usr/bin/pulseaudio --start   4918
root      1522 [krfcommd]                       0
jainebu+  1525 /usr/lib/gnome-shell/gnome-   1190
jainebu+  1526 ibus-daemon --xim --panel d   1748
jainebu+  1530 /usr/lib/ibus/ibus-dconf       548
jainebu+  1532 /usr/lib/ibus/ibus-x11 --ki   2448
jainebu+  1545 /usr/lib/evolution/evolutio   2003
jainebu+  1546 /usr/lib/gvfs/gvfs-udisks2-    858
jainebu+  1554 /usr/lib/gvfs/gvfs-gphoto2-    435
jainebu+  1558 /usr/lib/gvfs/gvfs-mtp-volu    379
jainebu+  1561 /usr/lib/gnome-online-accou   2250
jainebu+  1565 /usr/lib/gvfs/gvfs-goa-volu    373
jainebu+  1577 /usr/lib/gnome-online-accou    677
jainebu+  1582 /usr/lib/gvfs/gvfs-afc-volu    500
jainebu+  1587 /usr/lib/gnome-settings-dae    575
jainebu+  1588 /usr/lib/gnome-settings-dae   3974
jainebu+  1590 /usr/lib/gnome-settings-dae    730
jainebu+  1593 /usr/lib/gnome-settings-dae    378
jainebu+  1596 /usr/lib/gnome-settings-dae    342
jainebu+  1599 /usr/lib/gnome-settings-dae    855
jainebu+  1602 /usr/lib/gnome-settings-dae   2643
jainebu+  1604 /usr/lib/gnome-settings-dae   2646
jainebu+  1605 /usr/lib/gnome-settings-dae    713
jainebu+  1610 /usr/lib/gnome-settings-dae    697
jainebu+  1619 /usr/lib/gnome-settings-dae    576
jainebu+  1620 /usr/lib/gnome-settings-dae   2466
jainebu+  1621 /usr/lib/gnome-settings-dae   2936
jainebu+  1624 /usr/lib/gnome-settings-dae   2425
jainebu+  1625 /usr/lib/gnome-settings-dae    727
jainebu+  1626 /usr/lib/gnome-settings-dae   1148
jainebu+  1630 /usr/lib/gnome-settings-dae   3501
jainebu+  1631 /usr/lib/gnome-settings-dae   2477
jainebu+  1656 /usr/lib/gnome-settings-dae    935
jainebu+  1657 /usr/lib/evolution/evolutio   3361
jainebu+  1671 /usr/lib/ibus/ibus-engine-s    592
jainebu+  1718 /usr/bin/gnome-software --g  21319
jainebu+  1725 kerneloops-applet              850
jainebu+  1733 /usr/lib/evolution/evolutio   2380
jainebu+  1734 nautilus-desktop             16886
jainebu+  1736 /usr/lib/gnome-disk-utility    488
jainebu+  1756 /usr/lib/dconf/dconf-servic    453
jainebu+  1759 /usr/lib/evolution/evolutio   2262
jainebu+  1774 /usr/lib/evolution/evolutio   1771
jainebu+  1779 /usr/lib/gvfs/gvfsd-trash -    783
root      1791 /usr/lib/fwupd/fwupd          1909
jainebu+  1794 /usr/lib/evolution/evolutio   1462
jainebu+  1840 /usr/lib/gvfs/gvfsd-metadat    605
jainebu+  2393 update-notifier               3875
jainebu+  2497 /usr/lib/x86_64-linux-gnu/d   2296
jainebu+  3202 /usr/lib/x86_64-linux-gnu/g    303
jainebu+  3987 /usr/lib/gvfs/gvfsd-network    637
jainebu+  4079 /usr/lib/gvfs/gvfsd-dnssd -    510
www-data  4591 /usr/sbin/apache2 -k start      83
www-data  4592 /usr/sbin/apache2 -k start      83
root      4593 /usr/sbin/cupsd -l             619
www-data  4594 /usr/sbin/apache2 -k start      83
www-data  4595 /usr/sbin/apache2 -k start      83
root      4596 /usr/sbin/cups-browsed         711
www-data  4597 /usr/sbin/apache2 -k start      83
jainebu+  5849 /usr/lib/gnome-terminal/gno  13269
jainebu+  5857 bash                          6973
root      6210 [kworker/3:0]                    0
root      6340 [kworker/1:1]                    0
root      6415 [kworker/u8:11]                  0
root      6436 [kworker/u8:32]                  0
root      6447 [kworker/u8:43]                  0
root      6932 [kworker/2:1]                    0
root      7100 [kworker/3:2]                    0
root      7132 [kworker/u8:0]                   0
root      7284 [kworker/2:2]                    0
root      7372 [kworker/1:0]                    0
root      7403 [kworker/0:0]                    0
root      7433 [kworker/3:1]                    0
root      7650 [kworker/2:0]                    0
